class_name,repo,file_path,n_methods,Logical Lines,Distinct Operators,Distinct Operands,Total Operators,Total Operands,Cyclomatic Complexity,project,label_god_class,label_data_class,label_long_method,label_feature_envy
Generic,clean_projects,/content/student_repos/clean_projects/Java-Projects-main/Generic.java,3,15,5,7,30,45,1,Java-Projects-main,0,0,0,0
LogicofThreads,clean_projects,/content/student_repos/clean_projects/Java-Projects-main/LogicofThreads.java,1,17,8,10,62,93,3,Java-Projects-main,0,0,0,0
UserInterface,clean_projects,/content/student_repos/clean_projects/Java-Projects-main/UserInterface.java,1,12,6,7,37,56,3,Java-Projects-main,0,0,0,0
ClassQueue,clean_projects,/content/student_repos/clean_projects/Java-Projects-main/ClassQueue.java,1,14,7,9,49,73,1,Java-Projects-main,0,0,0,0
ClassArrayList,clean_projects,/content/student_repos/clean_projects/Java-Projects-main/ClassArrayList.java,1,15,7,9,49,74,2,Java-Projects-main,0,0,0,0
Total_Even_Odd,clean_projects,/content/student_repos/clean_projects/Java-Projects-main/Total_Even_Odd.java,1,19,7,8,46,69,3,Java-Projects-main,0,0,0,0
AppCalculator,clean_projects,/content/student_repos/clean_projects/Java-Projects-main/AppCalculator.java,8,118,19,23,364,546,13,Java-Projects-main,0,0,0,0
ClassEnum,clean_projects,/content/student_repos/clean_projects/Java-Projects-main/ClassEnum.java,2,17,7,9,50,76,3,Java-Projects-main,0,0,0,0
Month,clean_projects,/content/student_repos/clean_projects/Java-Projects-main/Month.java,1,39,9,11,80,119,16,Java-Projects-main,0,0,0,0
Hello_World,clean_projects,/content/student_repos/clean_projects/Java-Projects-main/Hello_World.java,1,3,3,3,7,11,1,Java-Projects-main,0,0,0,0
GameTikTakToe,clean_projects,/content/student_repos/clean_projects/Java-Projects-main/GameTikTakToe.java,1,47,17,21,289,433,34,Java-Projects-main,0,0,0,0
ClassInterface,clean_projects,/content/student_repos/clean_projects/Java-Projects-main/ClassInterface.java,13,41,9,11,81,121,1,Java-Projects-main,0,0,0,0
ClassHashMap,clean_projects,/content/student_repos/clean_projects/Java-Projects-main/ClassHashMap.java,1,26,10,12,100,151,1,Java-Projects-main,0,0,0,0
ClassStack,clean_projects,/content/student_repos/clean_projects/Java-Projects-main/ClassStack.java,1,15,7,9,51,77,1,Java-Projects-main,0,0,0,0
Constract,clean_projects,/content/student_repos/clean_projects/Java-Projects-main/Constract.java,10,39,9,11,78,116,1,Java-Projects-main,0,1,0,0
GenericClasses,clean_projects,/content/student_repos/clean_projects/Java-Projects-main/GenericClasses.java,6,22,7,8,47,71,1,Java-Projects-main,0,0,0,0
ClassAbstract,clean_projects,/content/student_repos/clean_projects/Java-Projects-main/ClassAbstract.java,6,22,7,8,47,71,1,Java-Projects-main,0,0,0,0
UnderAge,clean_projects,/content/student_repos/clean_projects/Java-Projects-main/UnderAge.java,1,12,6,7,34,51,2,Java-Projects-main,0,0,0,0
Recursion,clean_projects,/content/student_repos/clean_projects/Java-Projects-main/Recursion.java,2,17,7,8,43,64,3,Java-Projects-main,0,0,0,0
Faktorial,clean_projects,/content/student_repos/clean_projects/Java-Projects-main/Faktorial.java,1,10,6,7,32,48,2,Java-Projects-main,0,0,0,0
BytemanMCPTool,clean_projects,/content/student_repos/clean_projects/byteman-mcp/BytemanMCPTool.java,3,15,7,8,46,69,2,byteman-mcp,0,0,0,0
random,clean_projects,/content/student_repos/clean_projects/byteman-mcp/random.java,4,21,7,9,49,73,3,byteman-mcp,0,0,0,0
Main,clean_projects,/content/student_repos/clean_projects/RedSocialSimple/Main.java,1,4,3,4,9,14,1,RedSocialSimple,0,0,0,0
RedSocial,clean_projects,/content/student_repos/clean_projects/RedSocialSimple/RedSocial.java,9,126,18,22,326,489,9,RedSocialSimple,0,0,1,0
Comentario,clean_projects,/content/student_repos/clean_projects/RedSocialSimple/Comentario.java,9,30,7,9,50,75,1,RedSocialSimple,0,1,0,0
Publicacion,clean_projects,/content/student_repos/clean_projects/RedSocialSimple/Publicacion.java,19,60,10,12,94,140,1,RedSocialSimple,0,1,0,0
Usuario,clean_projects,/content/student_repos/clean_projects/RedSocialSimple/Usuario.java,16,53,9,11,86,129,1,RedSocialSimple,0,1,0,0
Runner,clean_projects,/content/student_repos/clean_projects/project005/Runner.java,1,6,5,6,24,35,1,project005,0,0,0,0
Rectangle,clean_projects,/content/student_repos/clean_projects/project005/Rectangle.java,7,21,6,7,32,47,1,project005,0,1,0,0
Circle,clean_projects,/content/student_repos/clean_projects/project005/Circle.java,4,12,4,5,19,29,1,project005,0,0,0,0
Shape,clean_projects,/content/student_repos/clean_projects/project005/Shape.java,0,4,1,3,0,3,1,project005,0,0,0,0
DriverCls,clean_projects,/content/student_repos/clean_projects/StaticBlock/DriverCls.java,1,3,3,3,7,11,1,StaticBlock,0,0,0,0
Program,clean_projects,/content/student_repos/clean_projects/FilesAndDirs_Exercice/Program.java,5,46,12,14,136,204,4,FilesAndDirs_Exercice,0,0,0,0
Code,clean_projects,/content/student_repos/clean_projects/Project.7/Code.java,2,26,9,11,77,116,7,Project.7,0,0,1,0
FitnessTracker,clean_projects,/content/student_repos/clean_projects/fitness_tracking/FitnessTracker.java,51,476,40,50,1636,2453,12,fitness_tracking,1,0,0,0
ProcessSchedulerSimulator,clean_projects,/content/student_repos/clean_projects/ProcessSchedulerSimulator/ProcessSchedulerSimulator.java,13,279,30,37,908,1363,9,ProcessSchedulerSimulator,0,0,0,1
user,clean_projects,/content/student_repos/clean_projects/ration stock/user.java,0,11,4,21,28,28,1,ration stock,0,0,0,0
basil,clean_projects,/content/student_repos/clean_projects/ration stock/basil.java,6,182,29,36,853,1279,7,ration stock,1,0,0,1
word_guess_game,clean_projects,/content/student_repos/clean_projects/Word Guess Game/word_guess_game.java,3,43,12,15,146,219,5,Word Guess Game,0,0,0,0
users,clean_projects,/content/student_repos/clean_projects/Admission-counselling-system/users.java,10,329,35,43,1214,1822,7,Admission-counselling-system,1,0,0,1
Emp,clean_projects,/content/student_repos/clean_projects/Admission-counselling-system/Emp.java,0,13,3,25,15,31,1,Admission-counselling-system,0,0,0,0
DbUtils,clean_projects,/content/student_repos/clean_projects/Admission-counselling-system/DbUtils.java,0,12,3,24,15,30,1,Admission-counselling-system,0,0,0,0
StudentData,clean_projects,/content/student_repos/clean_projects/Admission-counselling-system/StudentData.java,2,39,10,13,105,158,1,Admission-counselling-system,0,0,0,0
ChoicesData,clean_projects,/content/student_repos/clean_projects/Admission-counselling-system/ChoicesData.java,2,31,11,13,111,167,1,Admission-counselling-system,0,0,0,0
db,clean_projects,/content/student_repos/clean_projects/Admission-counselling-system/db.java,1,10,4,5,19,28,2,Admission-counselling-system,0,0,0,0
Login,clean_projects,/content/student_repos/clean_projects/Admission-counselling-system/Login.java,8,167,26,31,651,976,9,Admission-counselling-system,1,0,0,1
StudentInformationSystem,clean_projects,/content/student_repos/clean_projects/Admission-counselling-system/StudentInformationSystem.java,1,2,2,2,4,5,1,Admission-counselling-system,0,0,0,0
Result,clean_projects,/content/student_repos/clean_projects/Admission-counselling-system/Result.java,4,50,14,17,204,305,7,Admission-counselling-system,0,0,0,0
MainMenu,clean_projects,/content/student_repos/clean_projects/Admission-counselling-system/MainMenu.java,8,135,22,26,468,701,7,Admission-counselling-system,1,0,0,1
Choice,clean_projects,/content/student_repos/clean_projects/Admission-counselling-system/Choice.java,11,293,40,49,1602,2404,7,Admission-counselling-system,0,0,0,1
StudentInformation,clean_projects,/content/student_repos/clean_projects/Admission-counselling-system/StudentInformation.java,19,609,50,61,2490,3735,7,Admission-counselling-system,1,0,0,1
CounsellingResult,clean_projects,/content/student_repos/clean_projects/Admission-counselling-system/CounsellingResult.java,12,239,31,38,964,1445,16,Admission-counselling-system,0,0,0,1
Audit_details,clean_projects,/content/student_repos/clean_projects/Admission-counselling-system/Audit_details.java,7,177,25,31,641,962,7,Admission-counselling-system,0,0,1,0
Triplet,clean_projects,/content/student_repos/clean_projects/Sudoku Solver/Triplet.java,1,5,3,4,12,19,1,Sudoku Solver,0,0,0,0
Player,clean_projects,/content/student_repos/clean_projects/Sudoku Solver/Player.java,3,10,4,5,17,25,1,Sudoku Solver,0,1,0,0
App,clean_projects,/content/student_repos/clean_projects/Sudoku Solver/App.java,1,47,15,19,232,348,1,Sudoku Solver,0,0,0,0
Board,clean_projects,/content/student_repos/clean_projects/Sudoku Solver/Board.java,5,25,10,12,94,141,3,Sudoku Solver,0,0,0,0
Game,clean_projects,/content/student_repos/clean_projects/Sudoku Solver/Game.java,4,61,13,15,158,237,8,Sudoku Solver,0,0,0,0
Main,clean_projects,/content/student_repos/clean_projects/TorneoSports/Main.java,1,183,24,30,595,893,39,TorneoSports,0,0,0,0
Equipo,clean_projects,/content/student_repos/clean_projects/TorneoSports/Equipo.java,6,24,7,8,45,67,3,TorneoSports,0,0,0,0
Jugador,clean_projects,/content/student_repos/clean_projects/TorneoSports/Jugador.java,7,23,6,7,38,56,1,TorneoSports,0,1,0,0
Videojuego,clean_projects,/content/student_repos/clean_projects/TorneoSports/Videojuego.java,0,6,1,5,0,5,1,TorneoSports,0,0,0,0
Enfrentamiento,clean_projects,/content/student_repos/clean_projects/TorneoSports/Enfrentamiento.java,13,44,9,11,83,124,2,TorneoSports,0,1,0,0
EstadoEnfrentamiento,clean_projects,/content/student_repos/clean_projects/TorneoSports/EstadoEnfrentamiento.java,0,5,1,4,0,4,1,TorneoSports,0,0,0,0
FormatoTorneo,clean_projects,/content/student_repos/clean_projects/TorneoSports/FormatoTorneo.java,0,5,1,4,0,4,1,TorneoSports,0,0,0,0
Torneo,clean_projects,/content/student_repos/clean_projects/TorneoSports/Torneo.java,19,97,15,19,240,361,8,TorneoSports,0,0,0,0
Main,clean_projects,/content/student_repos/clean_projects/shradah_mam_oops_in_java/Main.java,1,7,4,5,15,23,1,shradah_mam_oops_in_java,0,0,0,0
LibraryManagementSystem,clean_projects,/content/student_repos/clean_projects/Library Management System/LibraryManagementSystem.java,13,152,20,25,406,608,8,Library Management System,0,0,1,0
ToDoList,clean_projects,/content/student_repos/clean_projects/todolist/ToDoList.java,6,99,15,18,226,338,9,todolist,0,0,0,0
STATUS,clean_projects,/content/student_repos/clean_projects/todolist/STATUS.java,0,4,1,4,0,4,1,todolist,0,0,0,0
Task,clean_projects,/content/student_repos/clean_projects/todolist/Task.java,6,19,5,7,30,45,1,todolist,0,1,0,0
CreateThreads,clean_projects,/content/student_repos/clean_projects/Threads/CreateThreads.java,5,50,10,12,98,148,3,Threads,0,0,1,0
Basics,clean_projects,/content/student_repos/clean_projects/Threads/Basics.java,1,26,9,12,88,133,3,Threads,0,0,0,0
MenuSelect,clean_projects,/content/student_repos/clean_projects/ATM2-Bankomat/MenuSelect.java,1,38,9,11,74,112,9,ATM2-Bankomat,0,0,0,0
NoMoney,clean_projects,/content/student_repos/clean_projects/ATM2-Bankomat/NoMoney.java,0,3,1,5,0,5,1,ATM2-Bankomat,0,0,0,0
Card,clean_projects,/content/student_repos/clean_projects/ATM2-Bankomat/Card.java,17,65,11,13,113,170,1,ATM2-Bankomat,0,1,0,0
CardType,clean_projects,/content/student_repos/clean_projects/ATM2-Bankomat/CardType.java,0,7,1,8,0,8,1,ATM2-Bankomat,0,0,0,0
CheckCard,clean_projects,/content/student_repos/clean_projects/ATM2-Bankomat/CheckCard.java,2,55,12,14,138,206,6,ATM2-Bankomat,0,0,0,0
ATMMain,clean_projects,/content/student_repos/clean_projects/ATM2-Bankomat/ATMMain.java,1,15,6,8,42,62,3,ATM2-Bankomat,0,0,0,0
Currency,clean_projects,/content/student_repos/clean_projects/ATM2-Bankomat/Currency.java,0,3,1,4,0,4,1,ATM2-Bankomat,0,0,0,0
CardService,clean_projects,/content/student_repos/clean_projects/ATM2-Bankomat/CardService.java,0,11,1,18,0,28,1,ATM2-Bankomat,0,0,0,0
ServiceImpelement,clean_projects,/content/student_repos/clean_projects/ATM2-Bankomat/ServiceImpelement.java,5,253,32,39,996,1495,11,ATM2-Bankomat,1,0,0,0
ExampleInstrumentedTest,clean_projects,/content/student_repos/clean_projects/app/ExampleInstrumentedTest.java,1,4,3,4,12,17,1,app,0,0,0,0
MainActivity,clean_projects,/content/student_repos/clean_projects/app/MainActivity.java,1,41,12,15,144,217,9,app,0,0,0,0
ExampleUnitTest,clean_projects,/content/student_repos/clean_projects/app/ExampleUnitTest.java,1,3,2,3,6,8,1,app,0,0,0,0
Manager,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/Manager.java,15,219,26,32,668,1001,11,JetBrainsAcademy,0,0,0,0
SeatDTO,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/SeatDTO.java,4,12,4,5,17,25,1,JetBrainsAcademy,0,1,0,0
ConnectionFactory,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/ConnectionFactory.java,2,16,6,7,34,50,3,JetBrainsAcademy,0,0,0,0
ReturnedTicketDTO,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/ReturnedTicketDTO.java,2,6,3,4,8,13,1,JetBrainsAcademy,0,0,0,0
CinemaController,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/CinemaController.java,4,32,10,12,98,148,6,JetBrainsAcademy,0,0,0,0
Seat,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/Seat.java,9,34,7,9,55,82,2,JetBrainsAcademy,0,1,0,0
CompanyQuery,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/CompanyQuery.java,2,6,3,4,8,13,1,JetBrainsAcademy,0,0,0,0
OperatorStore,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/OperatorStore.java,1,10,5,6,28,41,3,JetBrainsAcademy,0,0,0,0
Main,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/Main.java,1,139,14,17,184,275,8,JetBrainsAcademy,0,0,0,0
OperatorFactory_alt,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/OperatorFactory_alt.java,1,4,4,5,17,26,1,JetBrainsAcademy,0,0,0,0
Purchase,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/Purchase.java,4,13,5,6,25,38,1,JetBrainsAcademy,0,1,0,0
CinemaController_alt,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/CinemaController_alt.java,6,49,13,15,159,239,5,JetBrainsAcademy,0,0,0,0
Processor,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/Processor.java,14,218,25,31,621,932,31,JetBrainsAcademy,0,0,1,0
TokenDTO,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/TokenDTO.java,2,6,3,4,8,13,1,JetBrainsAcademy,0,0,0,0
Car,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/Car.java,7,23,6,7,38,56,1,JetBrainsAcademy,0,1,0,0
PurchaseRepository,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/PurchaseRepository.java,5,25,8,10,64,97,2,JetBrainsAcademy,0,0,0,0
TextEditor,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/TextEditor.java,3,72,15,19,238,357,2,JetBrainsAcademy,0,0,0,0
TicTacToe,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/TicTacToe.java,12,270,28,34,767,1151,29,JetBrainsAcademy,0,0,1,0
PurchasedSeatDTO,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/PurchasedSeatDTO.java,4,12,4,5,17,25,1,JetBrainsAcademy,0,1,0,0
CompanyDAO,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/CompanyDAO.java,0,7,2,13,2,14,1,JetBrainsAcademy,0,0,0,0
Customer,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/Customer.java,7,22,6,7,35,52,1,JetBrainsAcademy,0,1,0,0
CarDaoJDBC,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/CarDaoJDBC.java,6,77,14,17,189,283,3,JetBrainsAcademy,0,0,0,1
KeyboardReader,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/KeyboardReader.java,5,17,6,7,34,52,1,JetBrainsAcademy,0,0,0,0
ExceptionJson,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/ExceptionJson.java,3,9,4,4,14,20,1,JetBrainsAcademy,0,0,0,0
CarDAO,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/CarDAO.java,0,7,2,14,2,16,1,JetBrainsAcademy,0,0,0,0
Cinema,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/Cinema.java,4,65,14,17,204,305,6,JetBrainsAcademy,0,0,0,0
ShiftOperator_alt,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/ShiftOperator_alt.java,2,36,10,12,100,149,8,JetBrainsAcademy,0,0,0,0
Main_alt,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/Main_alt.java,1,3,3,3,8,12,1,JetBrainsAcademy,0,0,0,0
CoffeeMachine,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/CoffeeMachine.java,2,107,17,21,298,447,32,JetBrainsAcademy,0,0,0,0
Operation,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/Operation.java,0,5,1,4,0,4,1,JetBrainsAcademy,0,0,0,0
InputProcessor,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/InputProcessor.java,8,76,12,14,137,206,17,JetBrainsAcademy,0,0,1,0
TicketDTO,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/TicketDTO.java,6,18,5,6,25,38,1,JetBrainsAcademy,0,1,0,0
CustomerQuery,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/CustomerQuery.java,2,6,3,4,8,13,1,JetBrainsAcademy,0,0,0,0
CarQuery,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/CarQuery.java,2,6,3,4,8,13,1,JetBrainsAcademy,0,0,0,0
CustomerDAO,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/CustomerDAO.java,0,13,2,21,2,32,1,JetBrainsAcademy,0,0,0,0
Operator_alt,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/Operator_alt.java,2,18,7,8,45,68,3,JetBrainsAcademy,0,0,0,0
SeatDTO_alt,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/SeatDTO_alt.java,4,12,4,5,17,25,1,JetBrainsAcademy,0,1,0,0
ApplicationRunner_alt,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/ApplicationRunner_alt.java,1,3,2,3,6,10,1,JetBrainsAcademy,0,0,0,0
OperatorFactory,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/OperatorFactory.java,1,4,4,5,17,26,1,JetBrainsAcademy,0,0,0,0
Controller,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/Controller.java,2,52,10,12,101,151,12,JetBrainsAcademy,0,0,0,0
SimpleBot,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/SimpleBot.java,7,48,12,15,142,214,2,JetBrainsAcademy,0,0,0,0
Operation_alt,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/Operation_alt.java,0,5,1,4,0,4,1,JetBrainsAcademy,0,0,0,0
OperatorStore_alt,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/OperatorStore_alt.java,1,10,5,6,28,41,3,JetBrainsAcademy,0,0,0,0
Company,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/Company.java,5,16,5,6,26,40,1,JetBrainsAcademy,0,1,0,0
UnicodeOperator,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/UnicodeOperator.java,2,13,6,8,41,61,3,JetBrainsAcademy,0,0,0,0
MovieTheater_alt,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/MovieTheater_alt.java,11,83,15,18,219,329,5,JetBrainsAcademy,0,0,0,0
Operator,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/Operator.java,2,18,7,8,45,68,3,JetBrainsAcademy,0,0,0,0
ExceptionJson_alt,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/ExceptionJson_alt.java,3,9,4,4,14,20,1,JetBrainsAcademy,0,0,0,0
CompanyDaoJDBC,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/CompanyDaoJDBC.java,5,61,12,15,146,220,3,JetBrainsAcademy,0,0,0,1
ShiftOperator,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/ShiftOperator.java,2,36,10,12,100,149,8,JetBrainsAcademy,0,0,0,0
Algorithm_alt,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/Algorithm_alt.java,0,5,1,4,0,4,1,JetBrainsAcademy,0,0,0,0
StatsDTO,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/StatsDTO.java,6,18,5,6,25,38,1,JetBrainsAcademy,0,1,0,0
UnicodeOperator_alt,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/UnicodeOperator_alt.java,2,13,6,8,41,61,3,JetBrainsAcademy,0,0,0,0
ApplicationRunner,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/ApplicationRunner.java,1,3,2,3,6,8,1,JetBrainsAcademy,0,0,0,0
Seat_alt,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/Seat_alt.java,9,34,7,9,55,82,2,JetBrainsAcademy,0,1,0,0
InputProcessor_alt,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/InputProcessor_alt.java,8,76,12,14,137,206,17,JetBrainsAcademy,0,0,1,0
CustomerDaoJDBC,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/CustomerDaoJDBC.java,13,184,21,26,455,682,3,JetBrainsAcademy,0,0,0,1
Algorithm,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/Algorithm.java,0,5,1,4,0,4,1,JetBrainsAcademy,0,0,0,0
MovieTheater,clean_projects,/content/student_repos/clean_projects/JetBrainsAcademy/MovieTheater.java,7,29,8,9,59,88,3,JetBrainsAcademy,0,1,0,0
Programa,clean_projects,/content/student_repos/clean_projects/ExercicioMercado/Programa.java,5,78,14,18,210,316,7,ExercicioMercado,0,0,0,0
Switch,clean_projects,/content/student_repos/clean_projects/SwitchGrades/Switch.java,1,2,2,2,4,5,1,SwitchGrades,0,0,0,0
input,clean_projects,/content/student_repos/clean_projects/SwitchGrades/input.java,1,3,2,2,3,5,1,SwitchGrades,0,0,0,0
Program,clean_projects,/content/student_repos/clean_projects/HashSet_TreeSet_LinkedHashSet/Program.java,2,56,15,18,225,337,4,HashSet_TreeSet_LinkedHashSet,0,0,0,0
Program,clean_projects,/content/student_repos/clean_projects/StringBuilder/Program.java,1,21,8,9,58,87,1,StringBuilder,0,0,0,0
Post,clean_projects,/content/student_repos/clean_projects/StringBuilder/Post.java,13,51,10,12,102,152,2,StringBuilder,0,1,0,0
Comment,clean_projects,/content/student_repos/clean_projects/StringBuilder/Comment.java,4,10,4,5,16,23,1,StringBuilder,0,0,0,0
Solution,clean_projects,/content/student_repos/clean_projects/Project.9/Solution.java,1,19,7,8,46,69,3,Project.9,0,0,0,0
DriverCls,clean_projects,/content/student_repos/clean_projects/ObjectCls/DriverCls.java,1,5,3,4,10,15,1,ObjectCls,0,0,0,0
ObjectCls,clean_projects,/content/student_repos/clean_projects/ObjectCls/ObjectCls.java,1,3,2,3,6,8,1,ObjectCls,0,0,0,0
currency,clean_projects,/content/student_repos/clean_projects/currency Convertor/currency.java,0,120,13,154,161,364,13,currency Convertor,1,0,0,0
Code,clean_projects,/content/student_repos/clean_projects/Project.11/Code.java,2,20,8,10,72,108,3,Project.11,0,0,0,0
PlaylistLengthCalculator,clean_projects,/content/student_repos/clean_projects/youtube-playlist-length-cal/PlaylistLengthCalculator.java,2,15,7,8,45,67,2,youtube-playlist-length-cal,0,0,0,0
Main,clean_projects,/content/student_repos/clean_projects/vending-machine/Main.java,1,43,12,15,149,224,6,vending-machine,0,0,0,0
Machine,clean_projects,/content/student_repos/clean_projects/vending-machine/Machine.java,5,29,10,12,94,140,3,vending-machine,0,0,0,0
Item,clean_projects,/content/student_repos/clean_projects/vending-machine/Item.java,9,43,10,12,94,141,5,vending-machine,0,1,0,0
ButtonViewer,clean_projects,/content/student_repos/clean_projects/actionListenerExamples/ButtonViewer.java,3,31,9,11,79,118,1,actionListenerExamples,0,0,0,0
DatePrinter,clean_projects,/content/student_repos/clean_projects/actionListenerExamples/DatePrinter.java,2,15,6,7,31,46,2,actionListenerExamples,0,0,0,0
Sorting_With_Collections,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/Sorting_With_Collections.java,1,46,15,18,211,317,5,java-8-basic-programing,0,0,0,0
Period_1,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/Period_1.java,1,16,9,10,73,109,1,java-8-basic-programing,0,0,0,0
Java8_Sorting_Example,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/Java8_Sorting_Example.java,1,17,8,10,68,103,1,java-8-basic-programing,0,0,0,0
foreach_and_List,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/foreach_and_List.java,1,26,10,12,96,145,3,java-8-basic-programing,0,0,1,0
ConvertMapToList,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/ConvertMapToList.java,2,42,14,17,190,285,2,java-8-basic-programing,0,0,0,0
Developer,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/Developer.java,8,26,6,8,41,62,1,java-8-basic-programing,0,0,0,0
EnumSetExample,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/EnumSetExample.java,1,12,7,9,52,79,1,java-8-basic-programing,0,0,0,0
filter_a_map_2,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/filter_a_map_2.java,1,18,9,11,84,127,1,java-8-basic-programing,0,0,0,0
filter_collect_List_2,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/filter_collect_List_2.java,1,19,8,10,63,95,1,java-8-basic-programing,0,0,0,0
How_To_Use_List,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/How_To_Use_List.java,1,16,9,11,75,113,5,java-8-basic-programing,0,0,0,0
JoinArray,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/JoinArray.java,1,18,11,14,132,197,1,java-8-basic-programing,0,0,0,0
Compare_Date_1,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/Compare_Date_1.java,1,16,8,10,61,91,4,java-8-basic-programing,0,0,0,0
Compare_Date_3,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/Compare_Date_3.java,1,22,9,11,86,129,7,java-8-basic-programing,0,0,0,0
Car,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/Car.java,5,16,5,6,26,38,1,java-8-basic-programing,0,1,0,0
Optional_filter,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/Optional_filter.java,1,25,11,13,116,175,2,java-8-basic-programing,0,0,0,0
Sorting_With_Lambda,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/Sorting_With_Lambda.java,1,26,14,17,183,275,2,java-8-basic-programing,0,0,0,0
Compare_Date_2,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/Compare_Date_2.java,1,17,8,10,64,96,4,java-8-basic-programing,0,0,0,0
Instant_LocalDateTime,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/Instant_LocalDateTime.java,1,16,9,11,80,120,1,java-8-basic-programing,0,0,0,0
String_Arrays,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/String_Arrays.java,1,12,7,9,51,77,5,java-8-basic-programing,0,0,0,0
Item,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/Item.java,7,24,6,8,39,59,1,java-8-basic-programing,0,1,0,0
Collectors_Joining_Extra_Example,clean_projects,/content/student_repos/clean_projects/java-8-basic-programing/Collectors_Joining_Extra_Example.java,6,27,8,10,64,95,1,java-8-basic-programing,0,0,0,0
